Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",188.000000,-90.750000,0.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",199.250000,-105.250000,0.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",110.250000,-102.500000,0.000000,top
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",200.250000,-111.500000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.500000,-107.500000,0.000000,top
"D1","LED","LED_D5.0mm",123.000000,-78.540000,90.000000,top
"D2","LED","LED_D5.0mm",127.000000,-87.500000,90.000000,top
"D3","LED","LED_D5.0mm",145.000000,-119.250000,-90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",187.600000,-118.750000,180.000000,top
"D5","LED","LED_D5.0mm",161.025000,-86.000000,180.000000,top
"J1","~","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",176.250000,-90.617500,0.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",194.500000,-118.750000,0.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",134.170000,-78.500000,0.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",138.170000,-87.460000,0.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",151.670000,-120.525000,0.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",153.235000,-80.670000,-90.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-111.250000,0.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-115.500000,0.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",53.750000,-98.500000,0.000000,top
"R8","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-120.500000,0.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",97.000000,-112.250000,90.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",134.000000,-119.250000,180.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",141.250000,-91.250000,0.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",61.750000,-98.500000,0.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-125.000000,0.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-92.250000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-106.750000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-97.500000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.000000,-102.500000,0.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",83.000000,-106.500000,0.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",87.500000,-117.000000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",130.750000,-124.250000,0.000000,top
"SW2","SW_SPDT","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",116.500000,-102.500000,90.000000,top
"U0","NE555P","DIP-8_W7.62mm",102.805000,-102.540000,180.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm",195.370000,-108.790000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",123.130000,-95.670000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",145.060000,-113.390000,180.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",158.560000,-113.390000,180.000000,top
"U5","FYS-3911BUHR-21","HDSP-7401",175.670000,-102.460000,0.000000,top
